# 无释义词组补录工作表（G1）—— 由 tools/import_no_meaning_phrases.py 生成
# 用法：核对「建议释义（AI，未核实）」，把认可的解释抄进「释义」列后运行：
#   python tools/import_no_meaning_phrases.py --import [--dry-run]
# 导入只认「释义」列；留空的行跳过。请勿改动前四列或增删行。
词组	级别	来源	建议释义（AI，未核实）	释义（人工填写）
draw one's attention	高考	24天突破高考英语必背短语.xlsx	吸引某人的注意	
drop in at ...	高考	24天突破高考英语必背短语.xlsx	顺便拜访（某地）	
far more interesting	高考	24天突破高考英语必背短语.xlsx	有趣得多	
find sth. hard to do	高考	24天突破高考英语必背短语.xlsx	发现某事很难做	
find sth. to do	高考	24天突破高考英语必背短语.xlsx	找到事情做	
fix a date for sth.	高考	24天突破高考英语必背短语.xlsx	为某事定好日期	
fix a date to do sth.	高考	24天突破高考英语必背短语.xlsx	定下做某事的日期	
fix a time for sth.	高考	24天突破高考英语必背短语.xlsx	为某事约定时间	
fix a time to do sth.	高考	24天突破高考英语必背短语.xlsx	约定做某事的时间	
follow one's advice on	高考	24天突破高考英语必背短语.xlsx	在某方面听从某人的建议	
follow the rules	高考	24天突破高考英语必背短语.xlsx	遵守规则	
fool sb. into doing sth.	高考	24天突破高考英语必背短语.xlsx	哄骗某人做某事	
for political reasons	高考	24天突破高考英语必背短语.xlsx	出于政治原因	
for reasons	高考	24天突破高考英语必背短语.xlsx	出于某些原因	
forbid sb. to do sth.	高考	24天突破高考英语必背短语.xlsx	禁止某人做某事	
force oneself to one's feet	高考	24天突破高考英语必背短语.xlsx	勉强站起来	
from a great distance	高考	24天突破高考英语必背短语.xlsx	从很远的地方	
get down to doing sth.	高考	24天突破高考英语必背短语.xlsx	开始认真处理／做某事	
get good from ...	高考	24天突破高考英语必背短语.xlsx	从……中得到好处	
get it settled	高考	24天突破高考英语必背短语.xlsx	把它定下来；解决妥当	
get on the right track	高考	24天突破高考英语必背短语.xlsx	走上正轨	
get separated	高考	24天突破高考英语必背短语.xlsx	失散；走散	
get up to one's feet	高考	24天突破高考英语必背短语.xlsx	站起来	
get used to doing	高考	24天突破高考英语必背短语.xlsx	习惯于做	
give one's regards to sb.	高考	24天突破高考英语必背短语.xlsx	向某人问好；代某人问好	
give sb. a message	高考	24天突破高考英语必背短语.xlsx	给某人捎个口信	
give sb. advice on ...	高考	24天突破高考英语必背短语.xlsx	在……方面给某人提建议	
go all the way back to the time of	高考	24天突破高考英语必背短语.xlsx	一直追溯到……的时代	
go mad about	高考	24天突破高考英语必背短语.xlsx	对……着迷；为……发狂	
go on a trip on ...	高考	24天突破高考英语必背短语.xlsx	乘……去旅行	
good manner	高考	24天突破高考英语必背短语.xlsx	有礼貌；得体的举止	
grow rich	高考	24天突破高考英语必背短语.xlsx	变富；致富	
guess sb. to be	高考	24天突破高考英语必背短语.xlsx	猜测某人是……	
have a great effect on	高考	24天突破高考英语必背短语.xlsx	对……有很大影响	
have a trip on ...	高考	24天突破高考英语必背短语.xlsx	乘……作一次旅行	
have difficulty doing sth.	高考	24天突破高考英语必背短语.xlsx	做某事有困难	
have difficulty in doing sth.	高考	24天突破高考英语必背短语.xlsx	做某事有困难	
have sth. for breakfast	高考	24天突破高考英语必背短语.xlsx	早饭吃……	
have sth. for lunch	高考	24天突破高考英语必背短语.xlsx	午饭吃……	
have sth. for supper	高考	24天突破高考英语必背短语.xlsx	晚饭吃……	
have the habit of doing sth.	高考	24天突破高考英语必背短语.xlsx	有做某事的习惯	
hit sb. on the ...	高考	24天突破高考英语必背短语.xlsx	打在某人（身体某部位）上	
humour sense	高考	24天突破高考英语必背短语.xlsx	幽默感	
in a high voice	高考	24天突破高考英语必背短语.xlsx	高声地	
in one's judgement	高考	24天突破高考英语必背短语.xlsx	依某人看来	
in the following years	高考	24天突破高考英语必背短语.xlsx	在随后的几年里	
in the last hours	高考	24天突破高考英语必背短语.xlsx	在最后几个小时里	
in the past ten years	高考	24天突破高考英语必背短语.xlsx	在过去十年里	
in the past years	高考	24天突破高考英语必背短语.xlsx	在过去的几年里	
in the years that followed	高考	24天突破高考英语必背短语.xlsx	在其后的年代里	
It is no good doing ...	高考	24天突破高考英语必背短语.xlsx	做……没有好处	
It is no use doing ...	高考	24天突破高考英语必背短语.xlsx	做……没有用	
It is one's turn to do sth.	高考	24天突破高考英语必背短语.xlsx	轮到某人做某事	
It is up to sb.	高考	24天突破高考英语必背短语.xlsx	由某人决定	
It is up to sb. to do sth.	高考	24天突破高考英语必背短语.xlsx	做某事是某人的职责／由某人决定	
It looks as though ...	高考	24天突破高考英语必背短语.xlsx	看起来好像……	
It occurred to sb. that ...	高考	24天突破高考英语必背短语.xlsx	某人突然想到……	
It seems as though ...	高考	24天突破高考英语必背短语.xlsx	似乎；好像……	
It sounds as if ...	高考	24天突破高考英语必背短语.xlsx	听起来好像……	
It sounds as though ...	高考	24天突破高考英语必背短语.xlsx	听起来好像……	
keep a strict eye on ...	高考	24天突破高考英语必背短语.xlsx	严密注视……	
keep the record	高考	24天突破高考英语必背短语.xlsx	保持纪录	
knock at the window	高考	24天突破高考英语必背短语.xlsx	敲窗户	
knock on the window	高考	24天突破高考英语必背短语.xlsx	敲窗户	
knock oneself against	高考	24天突破高考英语必背短语.xlsx	自己撞在……上	
live in separate rooms	高考	24天突破高考英语必背短语.xlsx	分房而住	
look forward to doing	高考	24天突破高考英语必背短语.xlsx	盼望做	
make a good effort	高考	24天突破高考英语必背短语.xlsx	作出很大努力	
make contributions to doing	高考	24天突破高考英语必背短语.xlsx	为做……作出贡献	
make no answer	高考	24天突破高考英语必背短语.xlsx	没有回答	
make one's living by doing	高考	24天突破高考英语必背短语.xlsx	靠做……谋生	
make sth. to one's own measure	高考	24天突破高考英语必背短语.xlsx	按（某人的）尺寸制作某物	
make up one's mind to do	高考	24天突破高考英语必背短语.xlsx	下决心做	
man-made project	高考	24天突破高考英语必背短语.xlsx	人造工程	
may have done	高考	24天突破高考英语必背短语.xlsx	可能已经做了	
meet one's demands	高考	24天突破高考英语必背短语.xlsx	满足某人的要求	
meet one's needs	高考	24天突破高考英语必背短语.xlsx	满足某人的需要	
meet one's requirements	高考	24天突破高考英语必背短语.xlsx	满足某人的要求	
need have done	高考	24天突破高考英语必背短语.xlsx	本有必要做（实际多用于否定、疑问）	
nobody but ...	高考	24天突破高考英语必背短语.xlsx	除了……没有别人；正是……	
not only ... but ...	高考	24天突破高考英语必背短语.xlsx	不但……而且……	
on one's arrival	高考	24天突破高考英语必背短语.xlsx	某人一到达	
on the coast of some country	高考	24天突破高考英语必背短语.xlsx	在某国的海岸上	
on the sands	高考	24天突破高考英语必背短语.xlsx	在沙滩上	
on the two sides	高考	24天突破高考英语必背短语.xlsx	在两边	
on the west coast of some country	高考	24天突破高考英语必背短语.xlsx	在某国的西海岸	
one such ...	高考	24天突破高考英语必背短语.xlsx	这样的一个……	
one's attitude to sth.	高考	24天突破高考英语必背短语.xlsx	对某事的态度	
one's attitude towards sth.	高考	24天突破高考英语必背短语.xlsx	对某事的态度	
ought to have done	高考	24天突破高考英语必背短语.xlsx	本应当做（却没做）	
out of one's reach	高考	24天突破高考英语必背短语.xlsx	够不着；力所不及	
owe one's thanks to sb.	高考	24天突破高考英语必背短语.xlsx	应感谢某人；把感激归于某人	
owe success to sb.	高考	24天突破高考英语必背短语.xlsx	把成功归功于某人	
pass on a message to sb.	高考	24天突破高考英语必背短语.xlsx	给某人捎信	
pay back the money	高考	24天突破高考英语必背短语.xlsx	还钱；偿还钱款	
pay little attention to	高考	24天突破高考英语必背短语.xlsx	很少注意；不大重视	
pay money for sth.	高考	24天突破高考英语必背短语.xlsx	付钱买某物	
pay much attention to	高考	24天突破高考英语必背短语.xlsx	非常注意；十分重视	
pay off the debt	高考	24天突破高考英语必背短语.xlsx	还清债务	
pay off the money	高考	24天突破高考英语必背短语.xlsx	还清钱款	
permit doing	高考	24天突破高考英语必背短语.xlsx	允许做（某事）	
permit sb. to do	高考	24天突破高考英语必背短语.xlsx	允许某人做	
persuade sb. into doing	高考	24天突破高考英语必背短语.xlsx	说服某人做	
persuade sb. not to do	高考	24天突破高考英语必背短语.xlsx	说服某人不做	
persuade sb. out of doing	高考	24天突破高考英语必背短语.xlsx	说服某人停止做	
persuade sb. to do	高考	24天突破高考英语必背短语.xlsx	说服某人做	
plan a bicycle trip	高考	24天突破高考英语必背短语.xlsx	计划一次骑自行车旅行	
play a joke with sb.	高考	24天突破高考英语必背短语.xlsx	和某人开玩笑	
prefer doing ... to doing ...	高考	24天突破高考英语必背短语.xlsx	宁愿做……而不愿做……	
prefer to do ... rather than do ...	高考	24天突破高考英语必背短语.xlsx	宁愿做……而不愿做……	
prevent ... from doing sth.	高考	24天突破高考英语必背短语.xlsx	防止／阻止……做某事	
put a tax on sth.	高考	24天突破高考英语必背短语.xlsx	对某物征税	
put on performances	高考	24天突破高考英语必背短语.xlsx	上演节目；进行演出	
raise a cheer	高考	24天突破高考英语必背短语.xlsx	发出欢呼；喝彩	
read one's thoughts	高考	24天突破高考英语必背短语.xlsx	看出某人的心思	
receive degree	高考	24天突破高考英语必背短语.xlsx	获得学位	
receive one's doctor's degree	高考	24天突破高考英语必背短语.xlsx	获得博士学位	
regret to do	高考	24天突破高考英语必背短语.xlsx	遗憾地要去做（事情还没做）	
remain in business	高考	24天突破高考英语必背短语.xlsx	继续营业	
require to do sth.	高考	24天突破高考英语必背短语.xlsx	要求做某事	
run at a speed of ...	高考	24天突破高考英语必背短语.xlsx	以……的速度运行／奔跑	
run at top speed	高考	24天突破高考英语必背短语.xlsx	以全速跑	
satisfy one's demands	高考	24天突破高考英语必背短语.xlsx	满足某人的需求	
satisfy one's needs	高考	24天突破高考英语必背短语.xlsx	满足某人的需要	
satisfy one's requirements	高考	24天突破高考英语必背短语.xlsx	满足某人的要求	
seek the sun	高考	24天突破高考英语必背短语.xlsx	追寻阳光；向阳	
set up a record	高考	24天突破高考英语必背短语.xlsx	创造纪录	
settle the problem	高考	24天突破高考英语必背短语.xlsx	解决问题	
shift round the clock	高考	24天突破高考英语必背短语.xlsx	昼夜轮班；二十四小时连转	
shock the whole world	高考	24天突破高考英语必背短语.xlsx	震惊全世界	
show one's respect to sb.	高考	24天突破高考英语必背短语.xlsx	向某人表示敬意	
So far as I see, ...	高考	24天突破高考英语必背短语.xlsx	据我看……	
someone else's	高考	24天突破高考英语必背短语.xlsx	别人的	
someone else's book	高考	24天突破高考英语必背短语.xlsx	别人的书	
something as follows	高考	24天突破高考英语必背短语.xlsx	如下的事项／内容	
speak in a high voice	高考	24天突破高考英语必背短语.xlsx	大声说	
speak in a low voice	高考	24天突破高考英语必背短语.xlsx	低声说	
spend time in doing	高考	24天突破高考英语必背短语.xlsx	花时间做	
spend time on sth.	高考	24天突破高考英语必背短语.xlsx	在某事上花时间	
stay silent	高考	24天突破高考英语必背短语.xlsx	保持沉默	
sth. cost sb. some money	高考	24天突破高考英语必背短语.xlsx	某物花了某人（多少钱）	
sth. last some time	高考	24天突破高考英语必背短语.xlsx	某物持续（用了）一段时间	
swim to ...	高考	24天突破高考英语必背短语.xlsx	游向……	
take a message to sb.	高考	24天突破高考英语必背短语.xlsx	给某人捎口信	
take it for granted that ...	高考	24天突破高考英语必背短语.xlsx	想当然地认为……	
take one's attention	高考	24天突破高考英语必背短语.xlsx	吸引某人的注意	
take one's exam	高考	24天突破高考英语必背短语.xlsx	参加考试	
take photographs of	高考	24天突破高考英语必背短语.xlsx	给……拍照	
take turns to do sth.	高考	24天突破高考英语必背短语.xlsx	轮流做某事	
take two more pills	高考	24天突破高考英语必背短语.xlsx	再服两粒药	
tell the difference between ... and ...	高考	24天突破高考英语必背短语.xlsx	辨别……与……的不同	
the answer to the question	高考	24天突破高考英语必背短语.xlsx	问题的答案	
the attitude to sth.	高考	24天突破高考英语必背短语.xlsx	对某事的态度	
the ban on doing	高考	24天突破高考英语必背短语.xlsx	对做……的禁令	
the ban on sth.	高考	24天突破高考英语必背短语.xlsx	对某事的禁令	
the entrance to	高考	24天突破高考英语必背短语.xlsx	……的入口	
the first time to do	高考	24天突破高考英语必背短语.xlsx	第一次做……	
the key to the question	高考	24天突破高考英语必背短语.xlsx	问题的关键（答案）	
the level of the sea	高考	24天突破高考英语必背短语.xlsx	海平面	
the lines of the play	高考	24天突破高考英语必背短语.xlsx	剧中的台词	
The reason why ... is that ...	高考	24天突破高考英语必背短语.xlsx	……的原因是……	
the students' union	高考	24天突破高考英语必背短语.xlsx	学生会	
There is no need to do ...	高考	24天突破高考英语必背短语.xlsx	没有必要做……	
There is no point in doing sth.	高考	24天突破高考英语必背短语.xlsx	做某事毫无意义	
There is no trouble in doing ...	高考	24天突破高考英语必背短语.xlsx	做……没有困难	
times as big as ...	高考	24天突破高考英语必背短语.xlsx	是……的几倍大	
to one's delight	高考	24天突破高考英语必背短语.xlsx	使某人高兴的是	
to the joy of sb.	高考	24天突破高考英语必背短语.xlsx	使某人高兴的是	
treat ... as if	高考	24天突破高考英语必背短语.xlsx	对待……好像……	
treat ... as though	高考	24天突破高考英语必背短语.xlsx	对待……仿佛……	
try one's best to do	高考	24天突破高考英语必背短语.xlsx	尽最大努力做	
turn to sb. for help	高考	24天突破高考英语必背短语.xlsx	向某人求助	
under one's direction	高考	24天突破高考英语必背短语.xlsx	在某人的指导下	
under the pressure	高考	24天突破高考英语必背短语.xlsx	在压力之下	
wait for sb. to do	高考	24天突破高考英语必背短语.xlsx	等某人做	
warn sb. never to do	高考	24天突破高考英语必背短语.xlsx	警告某人千万不要做	
warn sb. not to do	高考	24天突破高考英语必背短语.xlsx	警告某人不要做	
wave hello to sb.	高考	24天突破高考英语必背短语.xlsx	向某人挥手致意	
What's the population of ...?	高考	24天突破高考英语必背短语.xlsx	……的人口是多少？	
win a majority	高考	24天突破高考英语必背短语.xlsx	赢得多数（票）	
